Company ID,Target Account,Last Modified Date,Lead Status,Total Revenue,Postal Code,Twitter Followers,first_conversion_date_timestamp_earliest_value_61f58f2c,Company Domain Name,Last Touch Converting Campaign,First Touch Converting Campaign,Recent Deal Close Date,hs_analytics_first_visit_timestamp_timestamp_earliest_value_accc17ae,Number of Pageviews,hs_analytics_last_visit_timestamp_timestamp_latest_value_999a0fce,Number of Employees,Site visit complete,Campaign of last booking in meetings tool,Number of decision makers,Time of Last Session,Time of First Session,Number of blockers,Close Date,Ideal Customer Profile Tier,Facebook Fans,Associated Deals,Last Logged Call Date,hs_analytics_source_data_1_timestamp_earliest_value_9b2f1fa1,recent_conversion_date_timestamp_latest_value_72856da1,Recent Deal Amount,Number of times contacted,Number of Sales Activities,All team ids,Last Open Task Date,Original Source Type,Target Account Probability,hs_analytics_num_page_views_cardinality_sum_e46e85b0,First Deal Created Date,recent_conversion_event_name_timestamp_latest_value_66c820bf,Medium of last booking in meetings tool,Facebook Company Page,Create Date,LinkedIn Bio,Date of last meeting booked in meetings tool,City,Name,Number of child companies,Additional Domains,Target Account Recommendation Snooze Time,Total open deal value,All accessible team ids,Number of Sessions,Phone Number,Last Sales Activity Date,first_contact_createdate_timestamp_earliest_value_78b50eea,Company owner,About Us,Last Activity Date,Next Activity Date,Source of last booking in meetings tool,Owner Assigned Date,State/Region,Introduced by,LinkedIn Company Page,Total Money Raised,Created by user ID,Associated Contacts,Original Source Data 1,first_conversion_event_name_timestamp_earliest_value_68ddae0a,Target Account,Number of contacts with a buying role,hs_analytics_source_timestamp_earliest_value_25a3a52c,Original Source Data 2,Lifecycle Stage,Last Booked Meeting Date,Last Contacted,Street Address,HubSpot Team,Twitter Bio,Web Technologies,closedate_timestamp_earliest_value_a2a17e6e,last sales activity date old,Country/Region,Target Account Recommendation State,Merged object IDs,Latest meeting activity,hs_predictivecontactscore_v2_next_max_max_d4e58c1e,First Contact Create Date,hs_analytics_first_touch_converting_campaign_timestamp_earliest_value_4757fe10,Time Zone,Time Last Seen,Time First Seen,All owner ids,Recent Sales Email Replied Date,Type,Website URL,Year Founded,Twitter Handle,hs_analytics_num_visits_cardinality_sum_53d952a6,Google Plus Page,Days to Close,num_conversion_events_cardinality_sum_d095f14b,Description,Annual Revenue,hs_analytics_first_timestamp_timestamp_earliest_value_11e3a63a,hs_analytics_last_timestamp_timestamp_latest_value_4e16365a,Parent Company,Industry,Object create date/time,hs_analytics_source_data_2_timestamp_earliest_value_9b2f9400,Street Address 2,Is Public,hs_analytics_last_touch_converting_campaign_timestamp_latest_value_81a64e30,User IDs of all owners,Avatar FileManager key,Number of open deals,Updated by user ID,Associated Company ID,Associated Company
4473802587,,2020-09-15 12:01,,,90210,,,heytutor.com,,,,,,,200,,,,,,,,,,,,,,,,,,,,0.40762347,,,,,https://facebook.com/heytutor,2020-09-14 14:05,We offer top-tier private tutoring services in over 250+ subjects. Connect with a private in-home tutor near you today. The best private tutors near you is a click away!,,Los Angeles,HeyTutor,0,,,,,,888-669-9811,,,Cole Whritenour,,,,,2020-09-15 12:01,CA,,https://www.linkedin.com/company/heytutor,,Cole Whritenour,0,,,,,,,,,,9107 Wilshire Boulevard,,,Mailchimp; Activecampaign; Google Tag Manager; Cloud Flare; Google Analytics; Google Apps; Bing Advertiser; Facebook Advertiser,,,United States,,,,,,,America/Los_Angeles,,,50900484,,,heytutor.com,2015,heytutor,,,,,We offer top-tier private tutoring services in over 250+ subjects. Connect with a private in-home tutor near you today. The best private tutors near you is a click away!,10000000,,,,,,,UNIT 202,false,,11908782,,,Cole Whritenour,,
4477249150,,2020-10-20 13:50,,,60611,,,4dhealthware.com,,,,,,,10,,,,,,,,,,,,,,,1,1,,,,0.40762347,,,,,https://www.facebook.com/4DHealthware,2020-09-15 10:32,"MAKE HEALTH A MATTER OF CHOICE, NOT CHANCE We'd all like to be in control of our health, yet few of us are. You make the most informed decisions you can but chances are you're not a doctor. Your doctors are all specialists, each with their own piece o...",,Chicago,4D Healthware,0,,,,,,224-633-9472,,,Neel Mehta,,2020-09-15 10:32,,,2020-09-15 10:32,IL,linkedin,https://www.linkedin.com/company/4d-healthware,1.5M,Neel Mehta,0,,,,,,,,,2020-09-15 10:32,401 N Michigan Ave,,,Google Maps; Wordpress; Typeform; Cloud Flare; Google Apps; Google Tag Manager,,,United States,,,,,,,America/Chicago,,,50900744,,,4dhealthware.com,2011,4DHealthware,,,,,"MAKE HEALTH A MATTER OF CHOICE, NOT CHANCE We'd all like to be in control of our health, yet few of us are. You make the most informed decisions you can but chances are you're not a doctor. Your doctors are all specialists, each with their own piece o...",1000000,,,,Hospital & Health Care,,,,false,,11908785,,,Neel Mehta,,
4477249204,,2020-10-20 13:50,,,10001,,,zipdrug.com,,,,,,,25,,,,,,,,,,,,,,,1,1,,,,0.40762347,,,,,https://facebook.com/zipdrug,2020-09-15 10:34,,,New York,Zipdrug,0,,,,,, +1 844-947-3784,,,Neel Mehta,,2020-09-15 10:34,,,2020-09-15 10:34,NY,linkedin,https://www.linkedin.com/company/zipdrug,,Neel Mehta,0,,,,,,,,,2020-09-15 10:34,350 7th Avenue,,,Route 53; Google Tag Manager; Mandrill; Google Analytics; Google Apps; DoubleClick Ads,,,United States,,,,,,,America/New_York,,,50900744,,,zipdrug.com,2015,zipdrug,,,,,"Prescription delivery to your home or office, on your schedule.",50000000,,,,,,,,false,,11908785,,,Neel Mehta,,
4477249367,,2020-10-20 13:50,,,30308,,,agoraservices.us,,,,,,,50,,,,,,,,,,,,,,,1,1,,,,0.40762347,,,,,https://facebook.com/zipdrug,2020-09-15 10:39,Zipdrug is a proprietary medication delivery platform that helps health plans manage medication adherence and cost.,,Atlanta,Agora Services,0,,,,,, +1 480-505-8877,,,Neel Mehta,,2020-09-15 10:39,,,2020-09-15 10:39,GA,linkedin,https://www.linkedin.com/company/agoraservices,,Neel Mehta,0,,,,,,,,,2020-09-15 10:39,715 Peachtree NE St,,,Route 53; Microsoft Office 365; Google Maps; Google Tag Manager; Recaptcha; Google Analytics; Google Apps,,,United States,,,,,,,America/New_York,,,50900744,,,agoraservices.us,2018,agoraservicesNY,,,,,"We're not ageist, but your old browser is holding us back.",1000000,,,,,,,,false,,11908785,,,Neel Mehta,,
4477638279,,2020-10-20 13:50,,,80301,,,stateless.net,,,,,,,,,,,,,,,,,,,,,,1,1,,,,0.40762347,,,,,,2020-09-15 10:39,NEW: How fast is fast when building interconnections? We put our tech to the test! See the showdown – Luxon software platform vs old school vendors,,,Stateless,0,,,,,,,,,Neel Mehta,,2020-09-15 10:39,,,2020-09-15 10:39,,linkedin,,,Neel Mehta,0,,,,,,,,,2020-09-15 10:39,,,,,,,,,,,,,,,,,50900744,,,stateless.net,,,,,,,NEW: How fast is fast when building interconnections? We put our tech to the test! See the showdown – Luxon software platform vs old school vendors,,,,,,,,,,,11908785,,,Neel Mehta,,
4477638301,,2020-10-20 13:50,,,21230,,,hungryharvest.net,,,,,,,50,,,,,,,,,,,,,,,1,1,,,,0.40762347,,,,,https://facebook.com/hungryharvest,2020-09-15 10:40,"Hungry Harvest is a farm to doorstep produce delivery service on a mission to end food waste & hunger. Every delivery rescues at least 10 lbs of fruits & veggies from going to waste, supports local hunger-solving efforts & costs 20-40% less th...",,Baltimore,Hungry Harvest,0,,,,,, +1 410-409-4874,,,Neel Mehta,,2020-09-15 10:40,,,2020-09-15 10:40,MD,linkedin,https://www.linkedin.com/company/hungryharvest,25.0K,Neel Mehta,0,,,,,,,,,2020-09-15 10:40,101 West Dickman Street,,,Mixpanel; Facebook Advertiser; Salesforce; App Nexus; Segment; Intercom; Piwik; Squarespace; Google Tag Manager; Facebook Connect; Godaddy Nameserver; Bing Advertiser; Sendgrid; Dstillery; Amazon S3; MediaMath; Attribution; Google Analytics; Google Apps; HubSpot; Optimizely; Varnish,,,United States,,,,,,,America/New_York,,,50900744,,,hungryharvest.net,2014,HungryHarvest,,,,,"Hungry Harvest is a farm to doorstep produce delivery service on a mission to end food waste & hunger. Every delivery rescues at least 10 lbs of fruits & veggies from going to waste, supports local hunger-solving efforts & costs 20-40% less th...",10000000,,,,Food & Beverages,,,,false,,11908785,,,Neel Mehta,,
4477613783,,2020-10-20 13:50,,,10023,,,reality.ai,,,,,,,50,,,,,,,,,,,,,,,1,1,,,,0.40762347,,,,,https://www.facebook.com/RealityAI,2020-09-15 10:41,"Reality AI is machine learning for embedded product development using sensors. Use accelerometers, vibrations, sound, electrical signals or any other sensor to make your machines smarter. Detects Anomalies and Classifies Signals in real-time at the edg...",,New York,"Reality Analytics, Inc.",0,,,,,, +1 347-523-4480,,,Neel Mehta,,2020-09-15 10:41,,,2020-09-15 10:41,NY,linkedin,https://www.linkedin.com/company/reality-ai,"1,700.0K",Neel Mehta,0,,,,,,,,,2020-09-15 10:41,157 Columbus Avenue,,,Hotjar; Vimeo; Google Maps; Wordpress; Google Tag Manager; Go Squared; Facebook Connect; Google Analytics; Google Apps; Facebook Advertiser,,,United States,,,,,,,America/New_York,,,50900744,,,reality.ai,2015,SensorAI,,,,,"Reality AI is machine learning for embedded product development using sensors. Use accelerometers, vibrations, sound, electrical signals or any other sensor to make your machines smarter. Detects Anomalies and Classifies Signals in real-time at the edg...",10000000,,,,Computer Software,,,4TH FL,false,,11908785,,,Neel Mehta,,
4477613800,,2020-10-20 13:50,,,,,,taxbit.com,,,,,,,10,,,,,,,,,,,,,,,1,1,,,,0.40762347,,,,,,2020-09-15 10:42,View the real-time tax impact of all your crypto transactions. See your total tax liability and automatically set aside funds.,,,TaxBit Inc,0,,,,,,,,,Neel Mehta,,2020-09-15 10:42,,,2020-09-15 10:42,,linkedin,https://www.linkedin.com/company/taxbitteam,,Neel Mehta,0,,,,,,,,,2020-09-15 10:42,,,,Youtube; Route 53; Google Cloud; Go Squared; Intercom; Google Apps,,,,,,,,,,,,,50900744,,,taxbit.com,2018,TaxBit,,,,,View the real-time tax impact of all your crypto transactions. See your total tax liability and automatically set aside funds.,,,,,,,,,false,,11908785,,,Neel Mehta,,
4477613811,,2020-10-20 13:50,,,66205,,,bungii.com,,,,,,,50,,,,,,,,,,,,,,,1,1,,,,0.40762347,,,,,https://facebook.com/bungiiapp,2020-09-15 10:42,Bungii provides on-demand large item delivery for individuals and business. Our Advanced algorithms and commitment to driver excellence lead the industry.,,Fairway,Bungii,0,,,,,,9133536683,,,Neel Mehta,,2020-09-15 10:42,,,2020-09-15 10:42,KS,linkedin,https://www.linkedin.com/company/bungii,,Neel Mehta,0,,,,,,,,,2020-09-15 10:42,4210 SHAWNEE MISSION PKY,,,Microsoft Exchange Online; Youtube; Google Adwords; Nginx; Wordpress; Google Tag Manager; Facebook Connect; Ecwid; Godaddy Nameserver; Bing Advertiser; Facebook Advertiser; Gravity Forms; Salesforce; Microsoft Office 365; Google Analytics; DoubleClick Ads; Outlook; Amazon Cloudfront; MaxCDN; Cloud Flare; Varnish,,,United States,,,,,,,America/Chicago,,,50900744,,,bungii.com,2014,BungiiApp,,,,,Bungii provides on-demand large item delivery for individuals and business. Our Advanced algorithms and commitment to driver excellence lead the industry.,10000000,,,,Computer Software,,,STE 308A,false,,11908785,,,Neel Mehta,,
4477638382,,2020-10-20 13:50,,,85226,,,pillir.io,,,,,,,,,,,,,,,,,,,,,,1,1,,,,0.40762347,,,,,,2020-09-15 10:42,"Pillir's EdgeReady Cloud provides a low code, modernized application development platform for ERP customers who utilize SAP, Oracle, Microsoft Dynamics....",,,Pillir,0,,,,,, +1 855-277-7373,,,Neel Mehta,,2020-09-15 10:42,,,2020-09-15 10:42,AZ,linkedin,,,Neel Mehta,0,,,,,,,,,2020-09-15 10:42,,,,Cloud Flare; Google Analytics; Godaddy Nameserver; Piwik; Google Apps; HubSpot,,,United States,,,,,,,America/Phoenix,,,50900744,,,pillir.io,,EdgeReadyCloud,,,,,"Pillir's EdgeReady Cloud provides a low code, modernized application development platform for ERP customers who utilize SAP, Oracle, Microsoft Dynamics....",,,,,,,,,false,,11908785,,,Neel Mehta,,
